CO_CURSO,MEDIA_NT_CE,QE_I02_A,QE_I02_B,QE_I02_C,QE_I02_D,QE_I02_E,QE_I02_F,QE_I08_A,QE_I08_B,QE_I08_C,QE_I08_D,QE_I08_E,QE_I08_F,QE_I08_G,QE_I17_A,QE_I17_B,QE_I17_C,QE_I17_D,QE_I17_E,QE_I17_F,CO_IES,CO_MODALIDADE,CO_UF_CURSO,CO_MUNIC_CURSO
872,41.65,0.7619047619047619,0.047619047619047616,0.0,0.19047619047619047,0.0,0.0,0.047619047619047616,0.09523809523809523,0.047619047619047616,0.23809523809523808,0.38095238095238093,0.09523809523809523,0.09523809523809523,0.42857142857142855,0.47619047619047616,0.0,0.047619047619047616,0.047619047619047616,0.0,10,1,41,4106902
872,41.65,0.7619047619047619,0.047619047619047616,0.0,0.19047619047619047,0.0,0.0,0.047619047619047616,0.09523809523809523,0.047619047619047616,0.23809523809523808,0.38095238095238093,0.09523809523809523,0.09523809523809523,0.42857142857142855,0.47619047619047616,0.0,0.047619047619047616,0.047619047619047616,0.0,10,1,41,4106902
872,41.65,0.7619047619047619,0.047619047619047616,0.0,0.19047619047619047,0.0,0.0,0.047619047619047616,0.09523809523809523,0.047619047619047616,0.23809523809523808,0.38095238095238093,0.09523809523809523,0.09523809523809523,0.42857142857142855,0.47619047619047616,0.0,0.047619047619047616,0.047619047619047616,0.0,10,1,41,4106902
872,41.65,0.7619047619047619,0.047619047619047616,0.0,0.19047619047619047,0.0,0.0,0.047619047619047616,0.09523809523809523,0.047619047619047616,0.23809523809523808,0.38095238095238093,0.09523809523809523,0.09523809523809523,0.42857142857142855,0.47619047619047616,0.0,0.047619047619047616,0.047619047619047616,0.0,10,1,41,4106902
872,41.65,0.7619047619047619,0.047619047619047616,0.0,0.19047619047619047,0.0,0.0,0.047619047619047616,0.09523809523809523,0.047619047619047616,0.23809523809523808,0.38095238095238093,0.09523809523809523,0.09523809523809523,0.42857142857142855,0.47619047619047616,0.0,0.047619047619047616,0.047619047619047616,0.0,10,1,41,4106902
872,41.65,0.7619047619047619,0.047619047619047616,0.0,0.19047619047619047,0.0,0.0,0.047619047619047616,0.09523809523809523,0.047619047619047616,0.23809523809523808,0.38095238095238093,0.09523809523809523,0.09523809523809523,0.42857142857142855,0.47619047619047616,0.0,0.047619047619047616,0.047619047619047616,0.0,10,1,41,4106902
872,41.65,0.7619047619047619,0.047619047619047616,0.0,0.19047619047619047,0.0,0.0,0.047619047619047616,0.09523809523809523,0.047619047619047616,0.23809523809523808,0.38095238095238093,0.09523809523809523,0.09523809523809523,0.42857142857142855,0.47619047619047616,0.0,0.047619047619047616,0.047619047619047616,0.0,10,1,41,4106902
872,41.65,0.7619047619047619,0.047619047619047616,0.0,0.19047619047619047,0.0,0.0,0.047619047619047616,0.09523809523809523,0.047619047619047616,0.23809523809523808,0.38095238095238093,0.09523809523809523,0.09523809523809523,0.42857142857142855,0.47619047619047616,0.0,0.047619047619047616,0.047619047619047616,0.0,10,1,41,4106902
872,41.65,0.7619047619047619,0.047619047619047616,0.0,0.19047619047619047,0.0,0.0,0.047619047619047616,0.09523809523809523,0.047619047619047616,0.23809523809523808,0.38095238095238093,0.09523809523809523,0.09523809523809523,0.42857142857142855,0.47619047619047616,0.0,0.047619047619047616,0.047619047619047616,0.0,10,1,41,4106902
872,41.65,0.7619047619047619,0.047619047619047616,0.0,0.19047619047619047,0.0,0.0,0.047619047619047616,0.09523809523809523,0.047619047619047616,0.23809523809523808,0.38095238095238093,0.09523809523809523,0.09523809523809523,0.42857142857142855,0.47619047619047616,0.0,0.047619047619047616,0.047619047619047616,0.0,10,1,41,4106902
